listing_id,url,district,price_pen,price_usd,currency,area_m2,bedrooms,bathrooms,floor,antiquity_years,amenities_raw,days_listed,scraped_at
191160969,https://www.infocasas.com.pe/san-isidro-dormitorios-alquilo-o-vendo/191160969,san-isidro,26000.0,7685.0,PEN,899.0,5,3,14,,"{""piscina"": 1, ""gimnasio"": 1, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 0, ""terraza"": 1, ""amoblado"": 0, ""aire"": 1}",694,2026-06-21T02:29:29.241545+00:00
191206355,https://www.infocasas.com.pe/lindo-y-acogedor-departamento-en-alquiler-en-san-isidro/191206355,san-isidro,3145.0,930.0,PEN,70.0,1,3,,,"{""piscina"": 1, ""gimnasio"": 1, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 1, ""terraza"": 0, ""amoblado"": 1, ""aire"": 1}",682,2026-06-21T02:30:31.436519+00:00
191137230,https://www.infocasas.com.pe/alquilo-dpto-en-san-isidro/191137230,san-isidro,2500.0,739.0,PEN,50.0,1,1,2,,"{""piscina"": 0, ""gimnasio"": 1, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 0, ""terraza"": 0, ""amoblado"": 1, ""aire"": 1}",697,2026-06-21T02:30:31.445920+00:00
191147494,https://www.infocasas.com.pe/moderno-flat-en-alquiler-en-camino-real-san-isidro/191147494,san-isidro,4810.0,1422.0,PEN,150.0,3,2,2,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 1, ""terraza"": 1, ""amoblado"": 0, ""aire"": 1}",696,2026-06-21T02:30:31.449758+00:00
190514537,https://www.infocasas.com.pe/se-alquila-departamento-en-san-isidro-m/190514537,san-isidro,3285.0,971.0,PEN,110.0,3,2,,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 1, ""terraza"": 0, ""amoblado"": 0, ""aire"": 1}",1027,2026-06-21T02:30:31.453091+00:00
190645216,https://www.infocasas.com.pe/alquilo-prctico-departamento-en-estreno/190645216,san-isidro,2750.0,813.0,PEN,45.0,1,1,,,"{""piscina"": 1, ""gimnasio"": 1, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 0, ""terraza"": 1, ""amoblado"": 1, ""aire"": 1}",971,2026-06-21T02:30:31.456373+00:00
193592318,https://www.infocasas.com.pe/alquilo-depa-2-dormitorios-3er-piso-urb-san-roque-–-surco/193592318,surco,2000.0,591.0,PEN,79.0,2,2,3,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 0, ""terraza"": 0, ""amoblado"": 0, ""aire"": 1}",77,2026-06-21T02:29:31.480236+00:00
193858354,https://www.infocasas.com.pe/¡impecable-triplex-independiente-en-alquiler-en-san-miguel-–-cero-mantenimiento/193858354,surco,3000.0,887.0,PEN,110.0,3,3,0,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 1, ""ascensor"": 0, ""seguridad"": 0, ""terraza"": 0, ""amoblado"": 0, ""aire"": 1}",11,2026-06-21T02:29:31.487920+00:00
193636317,https://www.infocasas.com.pe/se-alquila-depa-en-jesus-maria/193636317,surco,2900.0,857.0,PEN,69.0,3,2,0,,"{""piscina"": 1, ""gimnasio"": 1, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 1, ""terraza"": 0, ""amoblado"": 0, ""aire"": 1}",66,2026-06-21T02:29:31.495711+00:00
193849702,https://www.infocasas.com.pe/alquiler-departamento-piso-13-edificio-nou-pueblo-libre/193849702,surco,2300.0,680.0,PEN,60.0,2,2,13,,"{""piscina"": 0, ""gimnasio"": 1, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 0, ""terraza"": 1, ""amoblado"": 1, ""aire"": 1}",14,2026-06-21T02:29:31.499341+00:00
193604733,https://www.infocasas.com.pe/se-alquila-departamento-en-jesus-maria/193604733,surco,3000.0,887.0,PEN,69.0,3,2,15,,"{""piscina"": 1, ""gimnasio"": 1, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 1, ""terraza"": 1, ""amoblado"": 0, ""aire"": 1}",73,2026-06-21T02:29:31.503154+00:00
